Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Coordination,Last update,Downlink Tone,Affiliate,On-air,D-STAR Enabled,Node,Sources,EchoLink,IRLP,Features,Coverage,AllStar,Links,Commands,Nets,Web links,Notes,DMR Enabled,Color Code,Wide Network,Grid,Location Photo,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Central Regional,Northern Colorado Regional,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Feed,P25 Digital Enabled,NAC,Default Reflector,Data,DMRX 1,Utah Statewide 2,Local/Cluster,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,YSF Digital Enabled,DG-ID,Mixed-Mode,Local Network,Devilshead Local,Eastern Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local,Wyoming,WyLOCAL,WIRES-X,Worldwide English,Colorado,N. Colorado,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,97.9,SSW,yes,49,60,37.8392,-109.462,146.61,146.01,88.5,San Juan,On-Air,Sinbad Desert ARC,UVHFS,yes,,,,,,,64264,3270,Remote base.,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",,,,,http://www.sdarc.us/repeaters/abajo.html,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,98.9,SSE,yes,08,16605,37.8119,-107.665,145.325,144.725,127.3,San Juan,On-Air,,CCARC,yes,,,,,,,,,Solar powered,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,98.9,SSE,yes,08,16624,37.8119,-107.665,444,449,67,San Juan,On-Air,,,yes,,,,,,,,,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,98.9,SSE,yes,08,210,37.8119,-107.664,447.525,442.525,127.3,San Juan,On-Air,KB5ITS,CCARC,yes,,,,,,,,,E-power.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,101,SSE,yes,08,209,37.7933,-107.629,147.375,147.975,156.7,San Juan,On-Air,,CCARC,yes,,,,,,,,,13,Wide area.,,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,102.6,SSE,yes,08,208,37.6992,-107.806,147.27,147.87,127.3,San Juan,On-Air,KB5ITT,CCARC,yes,,Durango ARC,,,,,,,E-power.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.32,0.6,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,103.6,WNW,yes,49,58,39.6389,-110.342,147.32,147.92,88.5,Carbon,On-Air,Sinbad Desert ARC,UVHFS,yes,,,,,,,64264,3270,Remote base.,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10. 50 mi radius.",,,,,http://sdarc.us/repeaters/bruin.html,110,,,,DM49tp,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,103.6,WNW,yes,49,59,39.6389,-110.342,449.05,444.05,88.5,Carbon,On-Air,Sinbad Desert ARC,UVHFS,yes,,,,,,,64264,3270,Remote base.,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10.",,,,,http://sdarc.us/repeaters/bruin.html,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,,WX7Y,"Sunny Side, Bruin Peak",UT,OPEN,,104.1,WNW,yes,49,15319,39.6447,-110.348,145.175,144.575,,Carbon,On-Air,SDARC,,yes,,Sinbad Desert A.R.C.,,,,,,,,Eastern Utah,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,109.9,S,yes,08,16606,37.4739,-108.505,145.19,144.59,100,Montezuma,On-Air,,CCARC,yes,,,,,,,,,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,109.9,S,yes,08,16623,37.4739,-108.505,447.275,442.275,100,Montezuma,On-Air,,,yes,,,,,,,,,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,,K7YI,"Price, Cedar Mountain",UT,OPEN,,110.4,W,yes,49,4237,39.185,-110.605,448.075,443.075,,Carbon,Off-Air,Sinbad Desert Amateur Radio Club,,yes,,,,yes,K7YI (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,I,111.1,W,yes,49,274,39.1719,-110.619,448.55,443.55,88.5,Emery,On-Air,N7QLO,UVHFS,yes,,,,,,,,3280,Remote base.,"Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",,,,,,Stand alone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,100,K7YI,"Castle Dale, Cedar Mountain",UT,CLOSED,,111.1,W,yes,49,74,39.1719,-110.619,447.125,442.125,100,Emery,,San Rafael Cactus Assoc,UVHFS,yes,,Cactus-Intertie,Unknown,,,,,,7,"Wide area: This covers (approximately) from Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,EI,111.2,W,yes,49,57,39.1715,-110.62,147.14,147.74,88.5,Emery,On-Air,Sinbad Desert ARC,UVHFS,yes,,,,,,,64264,3270,"Closed autopatch, remote base.","Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",,Full-time to the  Sinbad Desert (SDARC) System .,,,http://sdarc.us/repeaters/cedar.html,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,112.5,SE,yes,08,15212,38.6125,-106.543,447.65,442.65,151.4,Gunnison,On-Air,KB0YNA,CCARC,yes,151.4,,,,,,,,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",Gunnison valley and along East and west on Highway 50.,,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,113.6,NNE,yes,08,15577,40.5152,-107.546,146.97,146.37,88.5,Moffat,On-Air,Northwest Colorado Amateur Radio Association,CCARC,yes,123,Colorado Connection,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,,113.6,NNE,yes,08,3740,40.5152,-107.546,145.265,144.665,107.2,Moffat,,NW Colorado ARC,CCARC,yes,,,Unknown,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,136.5,W7BYU,"Myton, Flat Top",UT,OPEN,,115,NW,yes,49,13041,40.2222,-110.104,145.49,144.89,136.5,Duchesne,On-Air,,UVHFS,yes,,Sinbad Desert ARC (SDARC),,,,,,,E-power.,"Duchesne, UT area.",,,,,http://sdarc.us/repeaters/flat-top.html,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,117.6,SSE,yes,08,113,37.4153,-108.012,146.67,146.07,100,La Plata,On-Air,Durango ARC,CCARC,yes,,,,,,,,,11,Wide area.,,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",,,DARC Repeaters,Linked active in the summer months only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,118.5,S,yes,08,61,37.3489,-108.585,146.79,146.19,127.3,Montezuma,On-Air,KD5LWU,CCARC,yes,127.3,,,,,,24336,,,,29317,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,118.5,S,yes,08,62,37.3489,-108.585,449.175,444.175,127.3,Montezuma,Off-Air,KD5LWU,CCARC,yes,,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,119.1,E,yes,08,241,39.6554,-106.457,147.345,147.945,88.5,Eagle,On-Air,Colorado Connection,CCARC,yes,123,,,,,,,,9,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,,Full-time to the  Colorado Connection System .,,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,119.1,E,yes,08,16781,39.6348,-106.447,445.075,440.075,,Eagle,On-Air,K2AD,CCARC,yes,,Rocky Mountain Ham Radio,,,,,,,,,,,,,http://www.rmham.org/,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,119.4,SE,yes,08,14923,37.7933,-107.055,449.525,444.525,100,Mineral,On-Air,N0PKT,,yes,100,The Fun Machine,,,,,,,,,43265,Full-time to the  The Fun Machine System .,,,,,,,,DM67lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC6,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,119.6,S,yes,08,15895,37.345,-108.289,446.7375,441.7375,,Montezuma,On-Air,RMHAM,CCARC,yes,,,,,,,,,,,,,,,http://www.rmham.org,Talkgroup 700 TS 1 Talkgroup 719 TS 2,yes,6,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Rocky Mountain Wide  1  700      Southern Colorado  1  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,119.7,S,yes,08,15896,37.36,-108.15,442.375,447.375,100,Montezuma,On-Air,San Juan Connection,,yes,,,,,,,,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,121.2,S,yes,08,8168,37.326,-108.248,145.325,144.725,100,Montezuma,On-Air,,CCARC,yes,,,,,,,,,E-power.,Wide area.,,,,,http://www.sjcham.com,Full time to the San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,121.5,SE,yes,08,63,37.8492,-106.926,146.925,146.325,,Mineral,Off-Air,Creede ARC,CCARC,yes,,,,,,,,,,,,,,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,121.6,ESE,yes,08,10827,39.2508,-106.293,147.24,147.84,156.7,Lake,Off-Air,,CCARC,yes,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,122.9,E,yes,08,242,39.6403,-106.374,224.8,223.2,,Eagle,Off-Air,ECHO,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,122.9,E,yes,08,243,39.6403,-106.374,449.9,444.9,107.2,Eagle,Off-Air,ECHO,CCARC,yes,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,123.1,E,yes,08,256,39.6061,-106.356,146.61,146.01,107.2,Eagle,On-Air,ECHO,CCARC,yes,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,123.5,SSE,yes,08,116,37.3828,-107.778,146.7,146.1,100,La Plata,On-Air,Durango ARC,CCARC,yes,100,,,,,,,,9,Local.,,,,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,,N7PQD,Duchense,UT,OPEN,,123.6,NW,yes,49,152,40.1547,-110.392,147.26,147.86,,Duchesne,On-Air,Borderline ARC,UVHFS,yes,,,,,,,,,5,"Tabby mountain and nearby communities including Duchesne, Roosevelt, and Vernal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,124.4,SSE,yes,08,16782,37.3669,-107.785,445.1375,440.1375,,La Plata,On-Air,K2AD,CCARC,yes,,Rocky Mountain Ham Radio,,,,,,,,,,,,,http://www.rmham.org/,Talkgroup 700 TS 1 Talkgroup 719 TS 2,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,124.9,SE,yes,08,16739,38.5063,-106.345,145.325,144.725,100,Chaffee,On-Air,Chaffee Lake Amateur Repeater Association,,yes,,,,,,,,,,wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,125.1,SSE,yes,08,8169,37.3,-108.028,145.37,144.77,100,La Plata,On-Air,,CCARC,yes,100,,,,,,,,E-power.,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,125.8,SSE,yes,08,114,37.35,-107.767,147.345,147.945,88.5,La Plata,On-Air,Colorado Connection,CCARC,yes,123,,,,,,,,,Durango and north towards Molas Divide.,,Full-time to the  Colorado Connection System .,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,136.5,W7BAR,"Vernal, Grizzly Ridge",UT,OPEN,,125.9,NNW,yes,49,181,40.7396,-109.484,147.04,147.64,136.5,Uintah,On-Air,Borderline ARC,UVHFS,yes,,,,,,,,,E-power.,"Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,Full-time to the  Sinbad Desert (SDARC) System .,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,88.5,K7GX,"Price, Wood Hill",UT,OPEN,EI,126.6,WNW,yes,49,10058,39.6111,-110.812,147.2,147.8,88.5,Carbon,On-Air,,UVHFS,yes,,,,,,,64264,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,,K7GX,"Price, Wood Hill",UT,OPEN,EI,126.6,WNW,yes,49,10061,39.6111,-110.812,448.3,443.3,,Carbon,,,UVHFS,yes,,,Unknown,,,,64264,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,,126.6,WNW,yes,49,78,39.6119,-110.812,145.43,144.83,88.5,Carbon,,,UVHFS,yes,,,Unknown,,,,,,5,Price.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.5,-1.6,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,,126.6,WNW,yes,49,2764,39.6119,-110.812,224.5,222.9,88.5,Carbon,,College of Eastern Utah ARC,UVHFS,yes,,,Unknown,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,,126.6,WNW,yes,49,2765,39.6119,-110.812,448.3,443.3,88.5,Carbon,,College of Eastern Utah ARC,UVHFS,yes,,,Unknown,,,,,,,Price.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,136.5,K7HEN,"Vernal, Grizzly Ridge",UT,OPEN,,126.7,NNW,yes,49,24,40.7517,-109.487,145.49,144.89,136.5,Uintah,On-Air,"W7BYU,  Borderline ARC",UVHFS,yes,,,,,,,,,"Autopatch, 8,506', linked to (147.320).","Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,127.5,ESE,yes,08,172,39.2814,-106.186,145.445,144.845,88.5,Lake,On-Air,Colorado Connection,CCARC,yes,,,,,,,,,E-power (solar).,,,Full-time to the  Colorado Connection System .,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,127.6,ESE,yes,08,16783,39.2653,-106.182,445.05,440.05,,Lake,On-Air,K2AD,CCARC,yes,,Rocky Mountain Ham Radio,,,,,,,,,,,,,http://www.rmham.org/,,yes,7,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  2  719  Full-Time    Central Regional  2  720  Full-Time    Northern Colorado Regional  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,2,RMHAM,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,107.2,AD7ZW,Altamont,UT,OPEN,EI,128.5,NW,yes,49,14977,40.3597,-110.284,147.28,147.88,107.2,Duchesne,On-Air,AD7ZW,UVHFS,yes,107.2,,,,,,458414,3205,Autopatch,,,,B21 = 911 B22 = Local Public Safety Dispatch (Non Emergency) B3 = 3 Minute Autopatch Extension B0 = Autopatch Disconnect,,http://ad7zwrepeater.xyz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,WB7CBS,Altamont,UT,OPEN,,128.5,NW,yes,49,253,40.3594,-110.286,146.74,146.14,100,Duchesne,Off-Air,,UVHFS,yes,,,,,,,,,Autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,128.7,ESE,yes,08,184,38.7129,-106.2,146.745,146.145,100,Chaffee,Off-Air,CLARA,CCARC,yes,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,128.8,SSE,yes,08,11546,37.2753,-107.88,449.85,444.85,100,La Plata,On-Air,DARC,CCARC,yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,128.8,SSE,yes,08,115,37.2753,-107.879,448.625,443.625,131.8,La Plata,On-Air,KC5EVE,CCARC,yes,131.8,,,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,129.3,SSE,yes,08,11545,37.2622,-107.906,147.135,147.735,100,La Plata,On-Air,,CCARC,yes,100,,,,,,,,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,KC0UFO,"Fairplay, Sacramento Mountain",CO,OPEN,,132.4,ESE,yes,08,5336,39.21,-106.087,447.125,442.125,103.5,Park,On-Air,KC0UFO,CCARC,yes,103.5,"Park County Radio Club, AB0PC",,,,,,,Emergency automatic generator.,"Covers Fairplay, Alma, and western South Park.",,,,"When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",,,,DM69wf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,134,NE,yes,08,15579,40.485,-106.832,147.165,147.765,88.5,Routt,On-Air,Colorado Connection,,yes,123,,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,134,NE,yes,08,9770,40.485,-106.832,449.625,444.625,123,Routt,On-Air,"Colorado Connection Repeaters, Inc.",,yes,123,,,,,,,,Statewide Linked System,Local Steamboat Area,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",http://colcon.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,134.1,E,yes,08,166,40.0589,-106.388,147.075,147.675,88.5,Grand,On-Air,Colorado Connection,CCARC,yes,123,,,,,,,,,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,,Full-time to the  Colorado Connection System .,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Part of the Colorado Connection system of Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,,134.1,NE,yes,08,237,40.485,-106.831,147.21,147.81,107.2,Routt,On-Air,SSARC,CCARC,yes,107.2,,,,,,,,"Linked, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.25,-20,,KF7YIX,"Torquerville, Hurricane Mesa",UT,OPEN,,137.3,W,yes,49,11163,39.321,-111.094,1299.25,1279.25,,Washington,On-Air,,UVHFS,yes,,,,yes,KF7YIX (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,137.5,E,yes,08,23,39.4817,-106.038,146.7,146.1,107.2,Summit,On-Air,GRARC,CCARC,yes,,,,,,,,3972,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
